t_rel_s,shm_used_mb,shm_sm_block_count,images_out_mb,pipelines
9.7,39424.61,5773,3688.35,0
9.7,39424.61,5773,3688.35,0
9.7,39424.61,5773,3688.35,0
9.7,39424.61,5773,3688.35,0
9.7,39424.61,5773,3688.35,0
9.7,39424.61,5773,3688.35,0
9.7,39424.61,5773,3688.35,0
9.7,39424.61,5773,3688.35,0
9.7,39424.61,5773,3688.35,0
9.7,39424.61,5773,3688.35,0
9.7,39424.61,5773,3688.35,0
9.7,39424.61,5773,3688.35,0
9.7,39424.61,5773,3688.35,0
9.7,39424.61,5773,3688.35,0
9.7,39424.61,5773,3688.35,0
9.7,39424.61,5773,3688.35,0
9.7,39424.61,5773,3688.35,0
9.7,39424.61,5773,3688.35,0
9.7,39424.61,5773,3688.35,0
9.8,39424.61,5773,3688.35,0
9.8,39424.61,5773,3688.35,0
9.8,39424.89,5774,3688.35,0
9.8,39433.73,5774,3688.35,0
9.8,39441.91,5774,3688.35,0
9.8,39441.91,5774,3688.35,0
9.8,39441.91,5774,3688.35,0
9.8,39441.91,5774,3688.35,0
9.8,39441.91,5774,3688.35,0
9.8,39441.91,5774,3688.35,0
9.8,39441.91,5774,3688.35,0
9.8,39441.91,5774,3688.35,0
9.8,39441.91,5774,3688.35,0
9.8,39441.91,5774,3688.35,0
9.8,39441.91,5774,3688.35,0
9.8,39441.91,5774,3688.35,0
9.8,39441.91,5774,3688.35,0
9.8,39441.91,5774,3688.35,0
9.9,39441.91,5774,3688.35,0
9.9,39441.91,5774,3688.35,0
9.9,39441.91,5774,3688.35,0
9.9,39441.91,5774,3688.35,0
9.9,39441.91,5774,3688.35,0
9.9,39441.91,5774,3688.35,0
9.9,39441.91,5774,3688.35,0
9.9,39441.91,5774,3688.35,0
9.9,39441.91,5774,3688.35,0
9.9,39441.91,5774,3688.35,0
9.9,39441.91,5774,3688.35,0
9.9,39441.91,5774,3688.35,0
9.9,39441.91,5774,3688.35,0
9.9,39442.84,5775,3688.35,0
9.9,39442.96,5777,3688.35,0
10.0,39442.96,5777,3688.35,0
10.0,39444.38,5778,3688.35,0
10.0,39444.89,5779,3688.35,0
10.0,39444.89,5779,3688.35,0
10.0,39444.89,5779,3688.35,0
10.0,39447.59,5780,3688.35,0
10.0,39447.8,5781,3688.35,0
10.0,39447.8,5781,3688.35,0
10.0,39447.8,5781,3688.35,0
10.0,39447.86,5782,3688.35,0
10.0,39447.86,5783,3688.35,0
10.0,39447.87,5783,3688.35,0
10.0,39447.91,5784,3688.35,0
10.1,39447.91,5784,3688.35,0
10.1,39447.91,5784,3688.35,0
10.1,39453.24,5785,3688.35,0
10.1,39458.51,5785,3688.35,1
10.1,39465.0,5785,3688.35,1
10.1,39465.0,5785,3688.35,1
10.1,39465.0,5785,3688.35,1
10.1,39485.69,5785,3700.24,1
10.2,39650.8,5787,3700.24,1
10.2,39664.43,5787,3700.24,1
10.2,39671.12,5787,3700.24,1
10.2,39678.58,5787,3700.24,1
10.2,39685.35,5787,3700.24,1
10.2,39685.35,5787,3700.24,1
10.2,39685.35,5787,3700.24,1
10.2,39685.35,5787,3700.24,1
10.2,39685.35,5787,3700.24,1
10.2,39613.35,5787,3700.24,1
10.2,39533.35,5787,3700.24,1
10.2,39533.35,5787,3700.24,1
10.2,39533.35,5787,3700.24,1
10.3,39533.35,5787,3700.24,1
10.3,39533.35,5787,3700.24,1
10.3,39533.35,5787,3700.24,1
10.3,39533.35,5787,3700.24,1
10.3,39533.35,5787,3700.24,1
10.3,39533.35,5787,3700.24,1
10.3,39533.35,5787,3700.24,1
10.3,39533.35,5787,3700.24,1
10.3,39533.35,5787,3700.24,1
10.3,39533.35,5787,3700.24,1
10.3,39533.35,5787,3700.24,1
10.3,39533.35,5787,3700.24,1
10.3,39533.35,5787,3700.24,1
10.3,39533.35,5787,3700.24,1
10.3,39533.35,5787,3700.24,1
10.4,39533.35,5787,3700.24,1
10.4,39533.35,5787,3700.24,1
10.4,39533.35,5787,3700.24,1
10.4,39533.35,5787,3700.24,1
10.4,39533.35,5787,3700.24,1
10.4,39533.35,5787,3700.24,1
10.4,39533.35,5787,3700.24,1
10.4,39533.35,5787,3700.24,1
10.4,39533.35,5787,3700.24,1
10.4,39533.35,5787,3700.24,1
10.4,39533.35,5787,3700.24,1
10.4,39533.35,5787,3700.24,1
10.4,39533.35,5787,3700.24,1
10.4,39533.35,5787,3700.24,1
10.4,39533.35,5787,3700.24,1
10.4,39533.35,5787,3700.24,1
10.5,39533.35,5787,3700.24,1
10.5,39539.82,5788,3700.24,1
10.5,39550.44,5788,3700.24,1
10.5,39550.44,5788,3700.24,1
10.5,39550.44,5788,3700.24,1
10.5,39550.44,5788,3700.24,1
10.5,39550.44,5788,3700.24,1
10.5,39550.44,5788,3700.24,1
10.5,39550.44,5788,3700.24,1
10.5,39550.44,5788,3700.24,1
